State,Industry,Series ID,date,Turnover
Northern Territory,Food retailing,A3349527K,1988-04-01,25.6
Northern Territory,Food retailing,A3349527K,1988-05-01,26.7
Northern Territory,Food retailing,A3349527K,1988-06-01,27.7
Northern Territory,Food retailing,A3349527K,1988-07-01,28.2
Northern Territory,Food retailing,A3349527K,1988-08-01,28.2
Northern Territory,Food retailing,A3349527K,1988-09-01,29.4
Northern Territory,Food retailing,A3349527K,1988-10-01,28.3
Northern Territory,Food retailing,A3349527K,1988-11-01,27.4
Northern Territory,Food retailing,A3349527K,1988-12-01,30.9
Northern Territory,Food retailing,A3349527K,1989-01-01,26.7
Northern Territory,Food retailing,A3349527K,1989-02-01,25.9
Northern Territory,Food retailing,A3349527K,1989-03-01,30
Northern Territory,Food retailing,A3349527K,1989-04-01,27.8
Northern Territory,Food retailing,A3349527K,1989-05-01,29.8
Northern Territory,Food retailing,A3349527K,1989-06-01,30.8
Northern Territory,Food retailing,A3349527K,1989-07-01,31.7
Northern Territory,Food retailing,A3349527K,1989-08-01,33.3
Northern Territory,Food retailing,A3349527K,1989-09-01,30.5
Northern Territory,Food retailing,A3349527K,1989-10-01,31.2
Northern Territory,Food retailing,A3349527K,1989-11-01,31.1
Northern Territory,Food retailing,A3349527K,1989-12-01,31.1
Northern Territory,Food retailing,A3349527K,1990-01-01,28.2
Northern Territory,Food retailing,A3349527K,1990-02-01,27.4
Northern Territory,Food retailing,A3349527K,1990-03-01,31.1
Northern Territory,Food retailing,A3349527K,1990-04-01,30.6
Northern Territory,Food retailing,A3349527K,1990-05-01,32.3
Northern Territory,Food retailing,A3349527K,1990-06-01,32.7
Northern Territory,Food retailing,A3349527K,1990-07-01,33.2
Northern Territory,Food retailing,A3349527K,1990-08-01,35.6
Northern Territory,Food retailing,A3349527K,1990-09-01,32.9
Northern Territory,Food retailing,A3349527K,1990-10-01,33.6
Northern Territory,Food retailing,A3349527K,1990-11-01,32.9
Northern Territory,Food retailing,A3349527K,1990-12-01,34.5
Northern Territory,Food retailing,A3349527K,1991-01-01,31.6
Northern Territory,Food retailing,A3349527K,1991-02-01,30.6
Northern Territory,Food retailing,A3349527K,1991-03-01,35.7
Northern Territory,Food retailing,A3349527K,1991-04-01,32.6
Northern Territory,Food retailing,A3349527K,1991-05-01,35.4
Northern Territory,Food retailing,A3349527K,1991-06-01,35.6
Northern Territory,Food retailing,A3349527K,1991-07-01,38.3
Northern Territory,Food retailing,A3349527K,1991-08-01,38.2
Northern Territory,Food retailing,A3349527K,1991-09-01,34.3
Northern Territory,Food retailing,A3349527K,1991-10-01,36.8
Northern Territory,Food retailing,A3349527K,1991-11-01,34.8
Northern Territory,Food retailing,A3349527K,1991-12-01,35.9
Northern Territory,Food retailing,A3349527K,1992-01-01,33.4
Northern Territory,Food retailing,A3349527K,1992-02-01,33
Northern Territory,Food retailing,A3349527K,1992-03-01,35
Northern Territory,Food retailing,A3349527K,1992-04-01,35.9
Northern Territory,Food retailing,A3349527K,1992-05-01,36.7
Northern Territory,Food retailing,A3349527K,1992-06-01,38.2
Northern Territory,Food retailing,A3349527K,1992-07-01,41.4
Northern Territory,Food retailing,A3349527K,1992-08-01,40.5
Northern Territory,Food retailing,A3349527K,1992-09-01,39.5
Northern Territory,Food retailing,A3349527K,1992-10-01,40.9
Northern Territory,Food retailing,A3349527K,1992-11-01,37.2
Northern Territory,Food retailing,A3349527K,1992-12-01,43.1
Northern Territory,Food retailing,A3349527K,1993-01-01,38
Northern Territory,Food retailing,A3349527K,1993-02-01,36.2
Northern Territory,Food retailing,A3349527K,1993-03-01,40
Northern Territory,Food retailing,A3349527K,1993-04-01,39.9
Northern Territory,Food retailing,A3349527K,1993-05-01,39.7
Northern Territory,Food retailing,A3349527K,1993-06-01,39.3
Northern Territory,Food retailing,A3349527K,1993-07-01,44
Northern Territory,Food retailing,A3349527K,1993-08-01,41.9
Northern Territory,Food retailing,A3349527K,1993-09-01,41.1
Northern Territory,Food retailing,A3349527K,1993-10-01,40.9
Northern Territory,Food retailing,A3349527K,1993-11-01,40
Northern Territory,Food retailing,A3349527K,1993-12-01,43.7
Northern Territory,Food retailing,A3349527K,1994-01-01,37
Northern Territory,Food retailing,A3349527K,1994-02-01,35.8
Northern Territory,Food retailing,A3349527K,1994-03-01,37.8
Northern Territory,Food retailing,A3349527K,1994-04-01,37
Northern Territory,Food retailing,A3349527K,1994-05-01,38.5
Northern Territory,Food retailing,A3349527K,1994-06-01,39.3
Northern Territory,Food retailing,A3349527K,1994-07-01,43.5
Northern Territory,Food retailing,A3349527K,1994-08-01,42.9
Northern Territory,Food retailing,A3349527K,1994-09-01,41.7
Northern Territory,Food retailing,A3349527K,1994-10-01,45.6
Northern Territory,Food retailing,A3349527K,1994-11-01,42.6
Northern Territory,Food retailing,A3349527K,1994-12-01,46.4
Northern Territory,Food retailing,A3349527K,1995-01-01,38
Northern Territory,Food retailing,A3349527K,1995-02-01,38
Northern Territory,Food retailing,A3349527K,1995-03-01,43.3
Northern Territory,Food retailing,A3349527K,1995-04-01,42.2
Northern Territory,Food retailing,A3349527K,1995-05-01,45.2
Northern Territory,Food retailing,A3349527K,1995-06-01,46.3
Northern Territory,Food retailing,A3349527K,1995-07-01,48.3
Northern Territory,Food retailing,A3349527K,1995-08-01,49.4
Northern Territory,Food retailing,A3349527K,1995-09-01,47.2
Northern Territory,Food retailing,A3349527K,1995-10-01,47.8
Northern Territory,Food retailing,A3349527K,1995-11-01,49
Northern Territory,Food retailing,A3349527K,1995-12-01,52.1
Northern Territory,Food retailing,A3349527K,1996-01-01,44.8
Northern Territory,Food retailing,A3349527K,1996-02-01,45.2
Northern Territory,Food retailing,A3349527K,1996-03-01,49.1
Northern Territory,Food retailing,A3349527K,1996-04-01,47
Northern Territory,Food retailing,A3349527K,1996-05-01,48
Northern Territory,Food retailing,A3349527K,1996-06-01,49.5
Northern Territory,Food retailing,A3349527K,1996-07-01,51.4
Northern Territory,Food retailing,A3349527K,1996-08-01,52.3
Northern Territory,Food retailing,A3349527K,1996-09-01,49
Northern Territory,Food retailing,A3349527K,1996-10-01,49.6
Northern Territory,Food retailing,A3349527K,1996-11-01,46.1
Northern Territory,Food retailing,A3349527K,1996-12-01,48.8
Northern Territory,Food retailing,A3349527K,1997-01-01,42.8
Northern Territory,Food retailing,A3349527K,1997-02-01,40.2
Northern Territory,Food retailing,A3349527K,1997-03-01,43.6
Northern Territory,Food retailing,A3349527K,1997-04-01,44
Northern Territory,Food retailing,A3349527K,1997-05-01,44.8
Northern Territory,Food retailing,A3349527K,1997-06-01,44.4
Northern Territory,Food retailing,A3349527K,1997-07-01,48.5
Northern Territory,Food retailing,A3349527K,1997-08-01,47
Northern Territory,Food retailing,A3349527K,1997-09-01,46.3
Northern Territory,Food retailing,A3349527K,1997-10-01,46.5
Northern Territory,Food retailing,A3349527K,1997-11-01,42.7
Northern Territory,Food retailing,A3349527K,1997-12-01,45.5
Northern Territory,Food retailing,A3349527K,1998-01-01,41.3
Northern Territory,Food retailing,A3349527K,1998-02-01,37.8
Northern Territory,Food retailing,A3349527K,1998-03-01,40.4
Northern Territory,Food retailing,A3349527K,1998-04-01,42.3
Northern Territory,Food retailing,A3349527K,1998-05-01,44.4
Northern Territory,Food retailing,A3349527K,1998-06-01,43.7
Northern Territory,Food retailing,A3349527K,1998-07-01,47.2
Northern Territory,Food retailing,A3349527K,1998-08-01,46.4
Northern Territory,Food retailing,A3349527K,1998-09-01,43.2
Northern Territory,Food retailing,A3349527K,1998-10-01,48.2
Northern Territory,Food retailing,A3349527K,1998-11-01,43.1
Northern Territory,Food retailing,A3349527K,1998-12-01,48.6
Northern Territory,Food retailing,A3349527K,1999-01-01,41.9
Northern Territory,Food retailing,A3349527K,1999-02-01,40.4
Northern Territory,Food retailing,A3349527K,1999-03-01,45.8
Northern Territory,Food retailing,A3349527K,1999-04-01,45.6
Northern Territory,Food retailing,A3349527K,1999-05-01,49.8
Northern Territory,Food retailing,A3349527K,1999-06-01,51.5
Northern Territory,Food retailing,A3349527K,1999-07-01,56.2
Northern Territory,Food retailing,A3349527K,1999-08-01,54.3
Northern Territory,Food retailing,A3349527K,1999-09-01,52.8
Northern Territory,Food retailing,A3349527K,1999-10-01,52.6
Northern Territory,Food retailing,A3349527K,1999-11-01,49.6
Northern Territory,Food retailing,A3349527K,1999-12-01,54.6
Northern Territory,Food retailing,A3349527K,2000-01-01,46.6
Northern Territory,Food retailing,A3349527K,2000-02-01,45.9
Northern Territory,Food retailing,A3349527K,2000-03-01,51
Northern Territory,Food retailing,A3349527K,2000-04-01,49.4
Northern Territory,Food retailing,A3349527K,2000-05-01,52.7
Northern Territory,Food retailing,A3349527K,2000-06-01,54.2
Northern Territory,Food retailing,A3349527K,2000-07-01,56.1
Northern Territory,Food retailing,A3349527K,2000-08-01,57.6
Northern Territory,Food retailing,A3349527K,2000-09-01,54.4
Northern Territory,Food retailing,A3349527K,2000-10-01,52.1
Northern Territory,Food retailing,A3349527K,2000-11-01,50.5
Northern Territory,Food retailing,A3349527K,2000-12-01,53.9
Northern Territory,Food retailing,A3349527K,2001-01-01,47.8
Northern Territory,Food retailing,A3349527K,2001-02-01,46.5
Northern Territory,Food retailing,A3349527K,2001-03-01,53.1
Northern Territory,Food retailing,A3349527K,2001-04-01,52.1
Northern Territory,Food retailing,A3349527K,2001-05-01,54.4
Northern Territory,Food retailing,A3349527K,2001-06-01,54.6
Northern Territory,Food retailing,A3349527K,2001-07-01,56.6
Northern Territory,Food retailing,A3349527K,2001-08-01,58.7
Northern Territory,Food retailing,A3349527K,2001-09-01,54.5
Northern Territory,Food retailing,A3349527K,2001-10-01,57.5
Northern Territory,Food retailing,A3349527K,2001-11-01,55.9
Northern Territory,Food retailing,A3349527K,2001-12-01,55.8
Northern Territory,Food retailing,A3349527K,2002-01-01,52.1
Northern Territory,Food retailing,A3349527K,2002-02-01,48.7
Northern Territory,Food retailing,A3349527K,2002-03-01,56.6
Northern Territory,Food retailing,A3349527K,2002-04-01,55.6
Northern Territory,Food retailing,A3349527K,2002-05-01,60.5
Northern Territory,Food retailing,A3349527K,2002-06-01,59.3
Northern Territory,Food retailing,A3349527K,2002-07-01,61.7
Northern Territory,Food retailing,A3349527K,2002-08-01,63.1
Northern Territory,Food retailing,A3349527K,2002-09-01,58
Northern Territory,Food retailing,A3349527K,2002-10-01,60.5
Northern Territory,Food retailing,A3349527K,2002-11-01,57.2
Northern Territory,Food retailing,A3349527K,2002-12-01,59.4
Northern Territory,Food retailing,A3349527K,2003-01-01,54.6
Northern Territory,Food retailing,A3349527K,2003-02-01,51.6
Northern Territory,Food retailing,A3349527K,2003-03-01,58.3
Northern Territory,Food retailing,A3349527K,2003-04-01,58.5
Northern Territory,Food retailing,A3349527K,2003-05-01,61.5
Northern Territory,Food retailing,A3349527K,2003-06-01,59.2
Northern Territory,Food retailing,A3349527K,2003-07-01,66.9
Northern Territory,Food retailing,A3349527K,2003-08-01,66.1
Northern Territory,Food retailing,A3349527K,2003-09-01,61.2
Northern Territory,Food retailing,A3349527K,2003-10-01,64
Northern Territory,Food retailing,A3349527K,2003-11-01,59.5
Northern Territory,Food retailing,A3349527K,2003-12-01,62.8
Northern Territory,Food retailing,A3349527K,2004-01-01,58.4
Northern Territory,Food retailing,A3349527K,2004-02-01,55.8
Northern Territory,Food retailing,A3349527K,2004-03-01,59.5
Northern Territory,Food retailing,A3349527K,2004-04-01,62.9
Northern Territory,Food retailing,A3349527K,2004-05-01,64.5
Northern Territory,Food retailing,A3349527K,2004-06-01,67.6
Northern Territory,Food retailing,A3349527K,2004-07-01,73.8
Northern Territory,Food retailing,A3349527K,2004-08-01,71.4
Northern Territory,Food retailing,A3349527K,2004-09-01,69.9
Northern Territory,Food retailing,A3349527K,2004-10-01,67.1
Northern Territory,Food retailing,A3349527K,2004-11-01,63.2
Northern Territory,Food retailing,A3349527K,2004-12-01,70.4
Northern Territory,Food retailing,A3349527K,2005-01-01,57.7
Northern Territory,Food retailing,A3349527K,2005-02-01,59.2
Northern Territory,Food retailing,A3349527K,2005-03-01,66.8
Northern Territory,Food retailing,A3349527K,2005-04-01,66.1
Northern Territory,Food retailing,A3349527K,2005-05-01,68.6
Northern Territory,Food retailing,A3349527K,2005-06-01,71
Northern Territory,Food retailing,A3349527K,2005-07-01,73.6
Northern Territory,Food retailing,A3349527K,2005-08-01,73.9
Northern Territory,Food retailing,A3349527K,2005-09-01,70.6
Northern Territory,Food retailing,A3349527K,2005-10-01,66.8
Northern Territory,Food retailing,A3349527K,2005-11-01,62.4
Northern Territory,Food retailing,A3349527K,2005-12-01,68.3
Northern Territory,Food retailing,A3349527K,2006-01-01,60.2
Northern Territory,Food retailing,A3349527K,2006-02-01,58.6
Northern Territory,Food retailing,A3349527K,2006-03-01,64.9
Northern Territory,Food retailing,A3349527K,2006-04-01,69.4
Northern Territory,Food retailing,A3349527K,2006-05-01,72.4
Northern Territory,Food retailing,A3349527K,2006-06-01,75.7
Northern Territory,Food retailing,A3349527K,2006-07-01,80.1
Northern Territory,Food retailing,A3349527K,2006-08-01,80.8
Northern Territory,Food retailing,A3349527K,2006-09-01,76.6
Northern Territory,Food retailing,A3349527K,2006-10-01,78.2
Northern Territory,Food retailing,A3349527K,2006-11-01,76.8
Northern Territory,Food retailing,A3349527K,2006-12-01,81.7
Northern Territory,Food retailing,A3349527K,2007-01-01,72
Northern Territory,Food retailing,A3349527K,2007-02-01,69.2
Northern Territory,Food retailing,A3349527K,2007-03-01,78.6
Northern Territory,Food retailing,A3349527K,2007-04-01,76.8
Northern Territory,Food retailing,A3349527K,2007-05-01,83.8
Northern Territory,Food retailing,A3349527K,2007-06-01,84.7
Northern Territory,Food retailing,A3349527K,2007-07-01,91.7
Northern Territory,Food retailing,A3349527K,2007-08-01,94
Northern Territory,Food retailing,A3349527K,2007-09-01,87.7
Northern Territory,Food retailing,A3349527K,2007-10-01,86.9
Northern Territory,Food retailing,A3349527K,2007-11-01,85.9
Northern Territory,Food retailing,A3349527K,2007-12-01,89.3
Northern Territory,Food retailing,A3349527K,2008-01-01,79.8
Northern Territory,Food retailing,A3349527K,2008-02-01,76.9
Northern Territory,Food retailing,A3349527K,2008-03-01,84
Northern Territory,Food retailing,A3349527K,2008-04-01,84.7
Northern Territory,Food retailing,A3349527K,2008-05-01,93
Northern Territory,Food retailing,A3349527K,2008-06-01,91.6
Northern Territory,Food retailing,A3349527K,2008-07-01,103
Northern Territory,Food retailing,A3349527K,2008-08-01,102.1
Northern Territory,Food retailing,A3349527K,2008-09-01,95.6
Northern Territory,Food retailing,A3349527K,2008-10-01,97.9
Northern Territory,Food retailing,A3349527K,2008-11-01,92.7
Northern Territory,Food retailing,A3349527K,2008-12-01,98.6
Northern Territory,Food retailing,A3349527K,2009-01-01,90
Northern Territory,Food retailing,A3349527K,2009-02-01,84.3
Northern Territory,Food retailing,A3349527K,2009-03-01,96.1
Northern Territory,Food retailing,A3349527K,2009-04-01,97.3
Northern Territory,Food retailing,A3349527K,2009-05-01,98.8
Northern Territory,Food retailing,A3349527K,2009-06-01,98
Northern Territory,Food retailing,A3349527K,2009-07-01,107.6
Northern Territory,Food retailing,A3349527K,2009-08-01,107.8
Northern Territory,Food retailing,A3349527K,2009-09-01,101.6
Northern Territory,Food retailing,A3349527K,2009-10-01,100.7
Northern Territory,Food retailing,A3349527K,2009-11-01,93
Northern Territory,Food retailing,A3349527K,2009-12-01,99.4
Northern Territory,Food retailing,A3349527K,2010-01-01,89
Northern Territory,Food retailing,A3349527K,2010-02-01,83.4
Northern Territory,Food retailing,A3349527K,2010-03-01,94
Northern Territory,Food retailing,A3349527K,2010-04-01,95.6
Northern Territory,Food retailing,A3349527K,2010-05-01,97.8
Northern Territory,Food retailing,A3349527K,2010-06-01,97.9
Northern Territory,Food retailing,A3349527K,2010-07-01,110.7
Northern Territory,Food retailing,A3349527K,2010-08-01,104.5
Northern Territory,Food retailing,A3349527K,2010-09-01,97.1
Northern Territory,Food retailing,A3349527K,2010-10-01,93.2
Northern Territory,Food retailing,A3349527K,2010-11-01,86.8
Northern Territory,Food retailing,A3349527K,2010-12-01,92.9
Northern Territory,Food retailing,A3349527K,2011-01-01,88.8
Northern Territory,Food retailing,A3349527K,2011-02-01,82.3
Northern Territory,Food retailing,A3349527K,2011-03-01,92
Northern Territory,Food retailing,A3349527K,2011-04-01,92.5
Northern Territory,Food retailing,A3349527K,2011-05-01,95.3
Northern Territory,Food retailing,A3349527K,2011-06-01,96
Northern Territory,Food retailing,A3349527K,2011-07-01,106.6
Northern Territory,Food retailing,A3349527K,2011-08-01,102.2
Northern Territory,Food retailing,A3349527K,2011-09-01,98.7
Northern Territory,Food retailing,A3349527K,2011-10-01,99.1
Northern Territory,Food retailing,A3349527K,2011-11-01,91.6
Northern Territory,Food retailing,A3349527K,2011-12-01,99.7
Northern Territory,Food retailing,A3349527K,2012-01-01,89.3
Northern Territory,Food retailing,A3349527K,2012-02-01,88.5
Northern Territory,Food retailing,A3349527K,2012-03-01,96.4
Northern Territory,Food retailing,A3349527K,2012-04-01,92.3
Northern Territory,Food retailing,A3349527K,2012-05-01,99.3
Northern Territory,Food retailing,A3349527K,2012-06-01,102.8
Northern Territory,Food retailing,A3349527K,2012-07-01,112.6
Northern Territory,Food retailing,A3349527K,2012-08-01,110.3
Northern Territory,Food retailing,A3349527K,2012-09-01,103.5
Northern Territory,Food retailing,A3349527K,2012-10-01,109.3
Northern Territory,Food retailing,A3349527K,2012-11-01,101.3
Northern Territory,Food retailing,A3349527K,2012-12-01,105.2
Northern Territory,Food retailing,A3349527K,2013-01-01,99
Northern Territory,Food retailing,A3349527K,2013-02-01,91.6
Northern Territory,Food retailing,A3349527K,2013-03-01,104.6
Northern Territory,Food retailing,A3349527K,2013-04-01,101.1
Northern Territory,Food retailing,A3349527K,2013-05-01,107.5
Northern Territory,Food retailing,A3349527K,2013-06-01,108.9
Northern Territory,Food retailing,A3349527K,2013-07-01,128.6
Northern Territory,Food retailing,A3349527K,2013-08-01,129.3
Northern Territory,Food retailing,A3349527K,2013-09-01,120.6
Northern Territory,Food retailing,A3349527K,2013-10-01,122.6
Northern Territory,Food retailing,A3349527K,2013-11-01,116.5
Northern Territory,Food retailing,A3349527K,2013-12-01,118.7
Northern Territory,Food retailing,A3349527K,2014-01-01,111.7
Northern Territory,Food retailing,A3349527K,2014-02-01,103
Northern Territory,Food retailing,A3349527K,2014-03-01,115.9
Northern Territory,Food retailing,A3349527K,2014-04-01,113.1
Northern Territory,Food retailing,A3349527K,2014-05-01,121.9
Northern Territory,Food retailing,A3349527K,2014-06-01,121
Northern Territory,Food retailing,A3349527K,2014-07-01,132.1
Northern Territory,Food retailing,A3349527K,2014-08-01,129.7
Northern Territory,Food retailing,A3349527K,2014-09-01,121.5
Northern Territory,Food retailing,A3349527K,2014-10-01,124.7
Northern Territory,Food retailing,A3349527K,2014-11-01,118.7
Northern Territory,Food retailing,A3349527K,2014-12-01,121
Northern Territory,Food retailing,A3349527K,2015-01-01,111.8
Northern Territory,Food retailing,A3349527K,2015-02-01,104
Northern Territory,Food retailing,A3349527K,2015-03-01,116.3
Northern Territory,Food retailing,A3349527K,2015-04-01,116.5
Northern Territory,Food retailing,A3349527K,2015-05-01,121.9
Northern Territory,Food retailing,A3349527K,2015-06-01,123.3
Northern Territory,Food retailing,A3349527K,2015-07-01,136.2
Northern Territory,Food retailing,A3349527K,2015-08-01,131.7
Northern Territory,Food retailing,A3349527K,2015-09-01,122
Northern Territory,Food retailing,A3349527K,2015-10-01,124
Northern Territory,Food retailing,A3349527K,2015-11-01,116.4
Northern Territory,Food retailing,A3349527K,2015-12-01,121.3
Northern Territory,Food retailing,A3349527K,2016-01-01,112.4
Northern Territory,Food retailing,A3349527K,2016-02-01,107.5
Northern Territory,Food retailing,A3349527K,2016-03-01,117.6
Northern Territory,Food retailing,A3349527K,2016-04-01,115.6
Northern Territory,Food retailing,A3349527K,2016-05-01,120.1
Northern Territory,Food retailing,A3349527K,2016-06-01,124.6
Northern Territory,Food retailing,A3349527K,2016-07-01,135.6
Northern Territory,Food retailing,A3349527K,2016-08-01,131.5
Northern Territory,Food retailing,A3349527K,2016-09-01,126.6
Northern Territory,Food retailing,A3349527K,2016-10-01,127
Northern Territory,Food retailing,A3349527K,2016-11-01,121.3
Northern Territory,Food retailing,A3349527K,2016-12-01,127.7
Northern Territory,Food retailing,A3349527K,2017-01-01,113.2
Northern Territory,Food retailing,A3349527K,2017-02-01,108.1
Northern Territory,Food retailing,A3349527K,2017-03-01,119.5
Northern Territory,Food retailing,A3349527K,2017-04-01,120.5
Northern Territory,Food retailing,A3349527K,2017-05-01,126.7
Northern Territory,Food retailing,A3349527K,2017-06-01,130.2
Northern Territory,Food retailing,A3349527K,2017-07-01,143.2
Northern Territory,Food retailing,A3349527K,2017-08-01,137.3
Northern Territory,Food retailing,A3349527K,2017-09-01,129
Northern Territory,Food retailing,A3349527K,2017-10-01,126.5
Northern Territory,Food retailing,A3349527K,2017-11-01,121.3
Northern Territory,Food retailing,A3349527K,2017-12-01,123.9
Northern Territory,Food retailing,A3349527K,2018-01-01,111.7
Northern Territory,Food retailing,A3349527K,2018-02-01,107.3
Northern Territory,Food retailing,A3349527K,2018-03-01,122.8
Northern Territory,Food retailing,A3349527K,2018-04-01,123.4
Northern Territory,Food retailing,A3349527K,2018-05-01,132.3
Northern Territory,Food retailing,A3349527K,2018-06-01,134.2
Northern Territory,Food retailing,A3349527K,2018-07-01,144.2
Northern Territory,Food retailing,A3349527K,2018-08-01,140.3
Northern Territory,Food retailing,A3349527K,2018-09-01,130.4
Northern Territory,Food retailing,A3349527K,2018-10-01,129.3
Northern Territory,Food retailing,A3349527K,2018-11-01,122.1
Northern Territory,Food retailing,A3349527K,2018-12-01,128
Northern Territory,Food retailing,A3349527K,2019-01-01,115.7
Northern Territory,Food retailing,A3349527K,2019-02-01,110.3
Northern Territory,Food retailing,A3349527K,2019-03-01,125.2
Northern Territory,Food retailing,A3349527K,2019-04-01,122.9
Northern Territory,Food retailing,A3349527K,2019-05-01,129.9
Northern Territory,Food retailing,A3349527K,2019-06-01,131.3
Northern Territory,Food retailing,A3349527K,2019-07-01,143.4
Northern Territory,Food retailing,A3349527K,2019-08-01,139.5
Northern Territory,Food retailing,A3349527K,2019-09-01,129.1
Northern Territory,Food retailing,A3349527K,2019-10-01,133.3
Northern Territory,Food retailing,A3349527K,2019-11-01,127.9
Northern Territory,Food retailing,A3349527K,2019-12-01,130.9
Northern Territory,Food retailing,A3349527K,2020-01-01,117.9
Northern Territory,Food retailing,A3349527K,2020-02-01,115.6
Northern Territory,Food retailing,A3349527K,2020-03-01,144.4
Northern Territory,Food retailing,A3349527K,2020-04-01,139.5
Northern Territory,Food retailing,A3349527K,2020-05-01,150.6
Northern Territory,Food retailing,A3349527K,2020-06-01,140.2
Northern Territory,Food retailing,A3349527K,2020-07-01,152
Northern Territory,Food retailing,A3349527K,2020-08-01,152.4
Northern Territory,Food retailing,A3349527K,2020-09-01,146.1
Northern Territory,Food retailing,A3349527K,2020-10-01,148.6
Northern Territory,Food retailing,A3349527K,2020-11-01,139
Northern Territory,Food retailing,A3349527K,2020-12-01,149.6
Northern Territory,Food retailing,A3349527K,2021-01-01,136.8
Northern Territory,Food retailing,A3349527K,2021-02-01,125
Northern Territory,Food retailing,A3349527K,2021-03-01,139.2
Northern Territory,Food retailing,A3349527K,2021-04-01,139.2
Northern Territory,Food retailing,A3349527K,2021-05-01,144
Northern Territory,Food retailing,A3349527K,2021-06-01,147.7
Northern Territory,Food retailing,A3349527K,2021-07-01,159.1
Northern Territory,Food retailing,A3349527K,2021-08-01,154.3
Northern Territory,Food retailing,A3349527K,2021-09-01,141.9
Northern Territory,Food retailing,A3349527K,2021-10-01,145.1
Northern Territory,Food retailing,A3349527K,2021-11-01,133.9
Northern Territory,Food retailing,A3349527K,2021-12-01,150.5
Northern Territory,Food retailing,A3349527K,2022-01-01,135.6
Northern Territory,Food retailing,A3349527K,2022-02-01,121.8
Northern Territory,Food retailing,A3349527K,2022-03-01,137
